 Id,X,Y,Slice
1051,602.5,635.929,4
1052,620.5,623.071,4
1053,637.214,616.643,4
1054,637.214,630.786,4
1055,629.5,650.071,4
1056,629.5,650.071,4
1057,670.643,635.929,4
1058,698.929,617.929,4
1059,644.929,679.643,4
1060,593.5,669.357,4
1061,545.929,695.071,4
1062,666.786,715.643,4
1063,664.214,693.786,4
1064,706.643,704.071,4
1065,751.643,722.071,4
1066,644.929,565.214,4
1067,629.5,570.357,4
1068,657.786,556.214,4
1069,715.643,544.643,4
1070,643.643,491.929,4
1071,624.357,439.214,4
1072,572.929,436.643,4
1073,522.786,419.929,4
1074,479.071,446.929,4
1075,481.643,377.5,4
1076,538.214,400.643,4
1077,526.643,408.357,4
1078,545.929,392.929,4
1079,476.5,313.214,4
1080,455.929,308.071,4
1081,434.071,259.214,4
1082,380.071,254.071,4
1083,413.5,251.5,4
1084,446.929,252.786,4
1085,430.214,212.929,4
1086,331.214,167.929,4
1087,362.071,88.214,4
1088,365.929,61.214,4
1089,391.643,47.071,4
1090,398.071,11.071,4
1091,299.071,12.357,4
1092,440.5,9.786,4
1093,445.643,22.643,4
1094,477.786,14.929,4
1095,522.786,8.5,4
1096,551.071,12.357,4
1097,596.071,0.786,4
1098,589.643,25.214,4
1099,524.071,49.643,4
1100,490.643,74.071,4
1101,453.357,85.643,4
1102,440.5,94.643,4
1103,418.643,95.929,4
1104,430.214,106.214,4
1105,416.071,115.214,4
1106,410.929,108.786,4
1107,448.214,138.357,4
1108,479.071,182.071,4
1109,499.643,198.786,4
1110,527.929,179.5,4
1111,540.786,188.5,4
1112,520.214,215.5,4
1113,488.071,282.357,4
1114,539.5,301.643,4
1115,551.071,328.643,4
1116,557.5,318.357,4
1117,610.214,314.5,4
1118,652.643,338.929,4
1119,657.786,326.071,4
1120,688.643,292.643,4
1121,611.5,238.643,4
1122,644.929,350.5,4
1123,673.214,371.071,4
1124,692.5,463.643,4
1125,736.214,434.071,4
1126,747.786,391.643,4
1127,763.214,428.929,4
1128,782.5,580.643,4
1129,774.786,594.786,4
1130,827.5,520.214,4
1131,842.929,446.929,4
1132,813.357,414.786,4
1133,855.786,392.929,4
1134,836.5,623.071,4
1135,828.786,675.786,4
1136,881.5,619.214,4
1137,896.929,648.786,4
1138,902.071,548.5,4
1139,972.786,602.5,4
1140,972.786,589.643,4
1141,956.071,678.357,4
1142,927.786,695.071,4
1143,913.643,642.357,4
1144,981.786,670.643,4
1145,976.643,486.786,4
1146,949.643,473.929,4
1147,974.071,394.214,4
1148,950.929,368.5,4
1149,1020.357,533.071,4
1150,1002.357,567.786,4
1151,1038.357,605.071,4
1152,1060.214,597.357,4
1153,1067.929,592.214,4
1154,1098.786,612.786,4
1155,1079.5,687.357,4
1156,1120.643,713.071,4
1157,1154.071,692.5,4
1158,1177.214,675.786,4
1159,1139.929,646.214,4
1160,1164.357,643.643,4
1161,1190.071,643.643,4
1162,1229.929,711.786,4
1163,1246.643,671.929,4
1164,1254.357,650.071,4
