track_id,frame,x_pixel,y_pixel,x_um,y_um,time_sec
43,3,681.546391752577,50.1340206185567,286.249484536082,21.0562886597938,0.05
44,3,943.098039215686,119.313725490196,396.101176470588,50.1117647058824,0.05
45,3,965.538461538462,229.288461538462,405.526153846154,96.3011538461539,0.05
46,1,74.3271028037383,324.654205607477,31.2173831775701,136.35476635514,0
46,2,77.8846153846154,324.515384615385,32.7115384615385,136.296461538462,0.025
46,3,73.8089887640449,321.561797752809,30.9997752808989,135.05595505618,0.05
46,4,75.1296296296296,315.5,31.5544444444444,132.51,0.075
47,1,134.04,141.38,56.2968,59.3796,0
47,2,133.5,140.666666666667,56.07,59.08,0.025
47,3,132.9,140.34,55.818,58.9428,0.05
47,4,133.529411764706,140.235294117647,56.0823529411765,58.8988235294118,0.075
48,1,473.641975308642,334.086419753086,198.92962962963,140.316296296296,0
48,2,477.812977099237,321.832061068702,200.681450381679,135.169465648855,0.025
48,3,475.280303030303,322.185606060606,199.617727272727,135.317954545455,0.05
48,4,474.489655172414,320.568965517241,199.285655172414,134.638965517241,0.075
49,1,549.491978609626,197.946524064171,230.786631016043,83.1375401069519,0
49,2,542.86,195.693333333333,228.0012,82.1912,0.025
49,3,543.022099447514,191.552486187845,228.069281767956,80.452044198895,0.05
49,4,544.757575757576,190.146464646465,228.798181818182,79.8615151515151,0.075
50,1,584.739130434783,654.095652173913,245.590434782609,274.720173913043,0
50,2,582.189189189189,651.094594594595,244.519459459459,273.45972972973,0.025
50,3,583.552447552448,645.216783216783,245.092027972028,270.991048951049,0.05
50,4,581.425806451613,643.509677419355,244.198838709677,270.274064516129,0.075
51,1,862.298245614035,101.491228070175,362.165263157895,42.6263157894737,0
51,2,860.506756756757,102.344594594595,361.412837837838,42.9847297297297,0.025
51,3,861.432584269663,104.252808988764,361.801685393258,43.7861797752809,0.05
51,4,865.056818181818,107.414772727273,363.323863636364,45.1142045454545,0.075
52,1,1034.70512820513,247.673076923077,434.576153846154,104.022692307692,0
52,2,1035.18300653595,247.745098039216,434.776862745098,104.052941176471,0.025
52,3,1036.27450980392,248.137254901961,435.235294117647,104.217647058824,0.05
52,4,1036.83561643836,248.582191780822,435.47095890411,104.404520547945,0.075
53,3,15.4601769911504,226,6.49327433628319,94.92,0.05
53,4,14.479674796748,221.333333333333,6.08146341463415,92.96,0.075
54,3,364.220588235294,246.5,152.972647058824,103.53,0.05
54,4,363.634408602151,247.021505376344,152.726451612903,103.749032258065,0.075
55,4,127.807692307692,693.596153846154,53.6792307692308,291.310384615385,0.075
56,4,131.792452830189,367.641509433962,55.3528301886792,154.409433962264,0.075
57,4,420.309523809524,698.103174603175,176.53,293.203333333333,0.075
58,4,968.275862068965,526.413793103448,406.675862068966,221.093793103448,0.075
59,1,135.740740740741,325.222222222222,57.0111111111111,136.593333333333,0
59,2,136.153846153846,324.480769230769,57.1846153846154,136.281923076923,0.025
59,3,135.8,324.5,57.036,136.29,0.05
59,4,136.647058823529,324.372549019608,57.3917647058824,136.236470588235,0.075
59,5,137.823529411765,323.647058823529,57.8858823529412,135.931764705882,0.1
60,1,188.529411764706,570.447058823529,79.1823529411765,239.587764705882,0
60,2,187.967032967033,570.714285714286,78.9461538461538,239.7,0.025
60,3,190.2,571.09,79.884,239.8578,0.05
60,4,192.489361702128,569.978723404255,80.8455319148936,239.391063829787,0.075
60,5,192.805555555556,568.361111111111,80.9783333333333,238.711666666667,0.1
61,1,1005.4328358209,149.865671641791,422.281791044776,62.9435820895522,0
61,2,1005.87878787879,150.469696969697,422.469090909091,63.1972727272727,0.025
61,3,1005.96721311475,150.918032786885,422.506229508197,63.3855737704918,0.05
61,4,1005.4262295082,150.377049180328,422.279016393443,63.1583606557377,0.075
61,5,1005.47619047619,149.936507936508,422.3,62.9733333333333,0.1
62,1,1114.96,5.984,468.2832,2.51328,0
62,2,1118.208,5.76,469.64736,2.4192,0.025
62,3,1119.13445378151,5.12605042016807,470.036470588235,2.15294117647059,0.05
62,4,1119.68965517241,5.77586206896552,470.269655172414,2.42586206896552,0.075
62,5,1121.56923076923,5.04615384615385,471.059076923077,2.11938461538462,0.1
63,1,1171.85981308411,651.373831775701,492.181121495327,273.577009345794,0
63,2,1170.30208333333,648.895833333333,491.526875,272.53625,0.025
63,3,1167.50704225352,647.845070422535,490.352957746479,272.094929577465,0.05
63,4,1165.82666666667,645.706666666667,489.6472,271.1968,0.075
63,5,1162.61904761905,647.142857142857,488.3,271.8,0.1
64,2,392.621794871795,687.967948717949,164.901153846154,288.946538461538,0.025
64,3,393.574468085106,683.326241134752,165.301276595745,286.997021276596,0.05
64,4,396.732026143791,685.437908496732,166.627450980392,287.883921568627,0.075
64,5,398.788461538462,686.794871794872,167.491153846154,288.453846153846,0.1
65,3,269.593220338983,532.847457627119,113.229152542373,223.79593220339,0.05
65,4,277.900763358779,531.587786259542,116.718320610687,223.266870229008,0.075
65,5,279.146341463415,528.743902439024,117.241463414634,222.07243902439,0.1
66,3,1066.78461538462,233.192307692308,448.049538461538,97.9407692307692,0.05
66,4,1064.56725146199,234.198830409357,447.118245614035,98.3635087719298,0.075
66,5,1062.82432432432,235.837837837838,446.386216216216,99.0518918918919,0.1
67,4,311.529411764706,391.705882352941,130.842352941176,164.516470588235,0.075
67,5,311.16,391.56,130.6872,164.4552,0.1
68,5,67.1929824561404,717.070175438596,28.2210526315789,301.169473684211,0.1
69,5,97.4285714285714,277.039682539683,40.92,116.356666666667,0.1
70,5,201.21186440678,151.330508474576,84.5089830508474,63.558813559322,0.1
71,5,544.977777777778,387.296296296296,228.890666666667,162.664444444444,0.1
72,5,631.989361702128,648.840425531915,265.435531914894,272.512978723404,0.1
73,5,686.546762589928,182.496402877698,288.34964028777,76.6484892086331,0.1
74,5,781.182795698925,583.064516129032,328.096774193548,244.887096774194,0.1
75,5,892.56,321.48,374.8752,135.0216,0.1
76,5,1215.68571428571,81.5785714285714,510.588,34.263,0.1
77,1,459.391025641026,459.134615384615,192.944230769231,192.836538461538,0
77,2,461.382716049383,458.913580246914,193.780740740741,192.743703703704,0.025
77,3,460.348571428571,457.645714285714,193.3464,192.2112,0.05
77,4,460.423611111111,457.326388888889,193.377916666667,192.077083333333,0.075
77,5,461.43795620438,456.897810218978,193.803941605839,191.897080291971,0.1
77,6,462.107142857143,458.184523809524,194.085,192.4375,0.125
78,1,484.608843537415,378.952380952381,203.535714285714,159.16,0
78,2,480.013274336283,378.283185840708,201.605575221239,158.878938053097,0.025
78,3,480.392282958199,379.440514469453,201.764758842444,159.36501607717,0.05
78,4,482.162962962963,379.088888888889,202.508444444444,159.217333333333,0.075
78,5,485.288944723618,379.994974874372,203.82135678392,159.597889447236,0.1
78,6,484.609819121447,384.643410852713,203.536124031008,161.55023255814,0.125
79,1,558.270833333333,322.385416666667,234.47375,135.401875,0
79,2,558.010489510489,322.475524475524,234.364405594406,135.43972027972,0.025
79,3,557.758741258741,322.70979020979,234.258671328671,135.538111888112,0.05
79,4,557.78021978022,322.912087912088,234.267692307692,135.623076923077,0.075
79,5,557.623287671233,322.732876712329,234.201780821918,135.547808219178,0.1
79,6,557.158249158249,322.447811447811,234.006464646465,135.428080808081,0.125
80,1,704.496453900709,234.241134751773,295.888510638298,98.3812765957447,0
80,2,704.414814814815,235.103703703704,295.854222222222,98.7435555555555,0.025
80,3,704.603305785124,235.289256198347,295.933388429752,98.8214876033058,0.05
80,4,704.253623188406,235.260869565217,295.78652173913,98.8095652173913,0.075
80,5,704.030534351145,236.083969465649,295.692824427481,99.1552671755725,0.1
80,6,703.829268292683,237.170731707317,295.608292682927,99.6117073170732,0.125
81,1,707.38,636.1,297.0996,267.162,0
81,2,707.42,635.62,297.1164,266.9604,0.025
81,3,707.803921568627,637.019607843137,297.277647058824,267.548235294118,0.05
81,4,708.36,636.5,297.5112,267.33,0.075
81,5,708.38,636.1,297.5196,267.162,0.1
81,6,708.38,636.1,297.5196,267.162,0.125
82,1,746.537037037037,106.041666666667,313.545555555556,44.5375,0
82,2,745.780748663102,105.909090909091,313.227914438503,44.4818181818182,0.025
82,3,745.185792349727,104.065573770492,312.978032786885,43.7075409836066,0.05
82,4,747.621848739496,97.781512605042,314.001176470588,41.0682352941176,0.075
82,5,747.193370165746,97.5414364640884,313.821215469613,40.9674033149171,0.1
82,6,744.171779141104,96.4846625766871,312.552147239264,40.5235582822086,0.125
83,1,1232.47368421053,596.210526315789,517.638947368421,250.408421052632,0
83,2,1231.54901960784,595.372549019608,517.250588235294,250.056470588235,0.025
83,3,1231.87272727273,595.454545454545,517.386545454545,250.090909090909,0.05
83,4,1231.96428571429,594.892857142857,517.425,249.855,0.075
83,5,1232.26,595.12,517.5492,249.9504,0.1
83,6,1232.19607843137,595.078431372549,517.522352941176,249.932941176471,0.125
84,1,1258.35443037975,658.911392405063,528.508860759494,276.742784810127,0
84,2,1258.37804878049,658.256097560976,528.518780487805,276.46756097561,0.025
84,3,1258.79545454545,658.647727272727,528.694090909091,276.632045454545,0.05
84,4,1257.8961038961,658.74025974026,528.316363636364,276.670909090909,0.075
84,5,1258.22857142857,658.557142857143,528.456,276.594,0.1
84,6,1259.55737704918,658.16393442623,529.014098360656,276.428852459016,0.125
85,2,753.982142857143,725.196428571429,316.6725,304.5825,0.025
85,3,752.349397590361,725.78313253012,315.986746987952,304.828915662651,0.05
85,4,751.538461538462,725.659340659341,315.646153846154,304.776923076923,0.075
85,5,751.569620253165,725.354430379747,315.659240506329,304.648860759494,0.1
85,6,753.01724137931,725.844827586207,316.26724137931,304.854827586207,0.125
86,3,608.542056074766,633.565420560748,255.587663551402,266.097476635514,0.05
86,4,605.870292887029,632.26359832636,254.465523012552,265.550711297071,0.075
86,5,602.928301886792,632.305660377358,253.229886792453,265.568377358491,0.1
86,6,602.099601593625,629.629482071713,252.881832669323,264.44438247012,0.125
87,6,129.726495726496,266.692307692308,54.4851282051282,112.010769230769,0.125
88,6,527.842105263158,400.359649122807,221.693684210526,168.151052631579,0.125
89,1,67.0941176470588,299.894117647059,28.1795294117647,125.955529411765,0
89,2,67.7831325301205,301.602409638554,28.4689156626506,126.673012048193,0.025
89,3,67.4473684210526,300.052631578947,28.3278947368421,126.022105263158,0.05
89,4,66.475,300.5625,27.9195,126.23625,0.075
89,5,64.5526315789474,301.328947368421,27.1121052631579,126.558157894737,0.1
89,6,61.9775280898876,300.359550561798,26.0305617977528,126.151011235955,0.125
89,7,59.0736842105263,298.073684210526,24.8109473684211,125.190947368421,0.15
90,1,365.327731092437,60.3697478991597,153.437647058824,25.3552941176471,0
90,2,364.126050420168,63.109243697479,152.932941176471,26.5058823529412,0.025
90,3,365.453237410072,66.4460431654676,153.49035971223,27.9073381294964,0.05
90,4,367.135714285714,67.2214285714286,154.197,28.233,0.075
90,5,367.898148148148,66.2222222222222,154.517222222222,27.8133333333333,0.1
90,6,368.040650406504,64.9024390243902,154.577073170732,27.2590243902439,0.125
90,7,370.098214285714,65.5089285714286,155.44125,27.51375,0.15
91,1,449.313432835821,17.1940298507463,188.711641791045,7.22149253731343,0
91,2,444.616822429907,18.5981308411215,186.739065420561,7.81121495327103,0.025
91,3,445.885245901639,19.8032786885246,187.271803278689,8.31737704918033,0.05
91,4,446.771428571429,23.8357142857143,187.644,10.011,0.075
91,5,448.296,25.56,188.28432,10.7352,0.1
91,6,446.483870967742,25.4086021505376,187.523225806452,10.6716129032258,0.125
91,7,438.663716814159,17.3097345132743,184.238761061947,7.27008849557522,0.15
92,1,609.284345047923,119.408945686901,255.899424920128,50.1517571884984,0
92,2,600.776978417266,116.920863309353,252.326330935252,49.1067625899281,0.025
92,3,601.685393258427,124.606741573034,252.707865168539,52.3348314606742,0.05
92,4,604.981595092025,129.441717791411,254.09226993865,54.3655214723926,0.075
92,5,602.969696969697,129.636363636364,253.247272727273,54.4472727272727,0.1
92,6,601.285714285714,131.392857142857,252.54,55.185,0.125
92,7,594.305263157895,124.052631578947,249.608210526316,52.1021052631579,0.15
93,1,930.705696202532,244.303797468354,390.896392405063,102.607594936709,0
93,2,929.103053435114,241.679389312977,390.223282442748,101.50534351145,0.025
93,3,929.478873239437,239.18779342723,390.381126760563,100.458873239437,0.05
93,4,926.972440944882,240.53937007874,389.32842519685,101.026535433071,0.075
93,5,927.524647887324,242.021126760563,389.560352112676,101.648873239437,0.1
93,6,925.283088235294,241.551470588235,388.618897058824,101.451617647059,0.125
93,7,924.124542124542,241.285714285714,388.132307692308,101.34,0.15
94,1,1066.06722689076,577.109243697479,447.748235294118,242.385882352941,0
94,2,1067.32432432432,585.297297297297,448.276216216216,245.824864864865,0.025
94,3,1062.20661157025,588.429752066116,446.126776859504,247.140495867769,0.05
94,4,1064.43621399177,594.588477366255,447.063209876543,249.727160493827,0.075
94,5,1067.4962406015,590.563909774436,448.348421052632,248.036842105263,0.1
94,6,1069.72511848341,593.492890995261,449.284549763033,249.267014218009,0.125
